W,L,S
0.2,0.2,0.6
0.11536306140421104,0.19053718677447765,0.6940997518213112
0.06167120363441595,0.09877145224900886,0.8395573441165752
0.032312597117956685,0.08547396618516472,0.8822134366968786
0.0446834393211881,0.06024071563366774,0.8950758450451441
0.0688714340290196,0.11753782278281602,0.8135907431881644
0.09490375169403754,0.08254740683864484,0.8225488414673177
0.04661123447348441,0.03931395147409452,0.9140748140524211
0.06321935045218992,0.027176132998852506,0.9096045165489576
0.08492248714210501,0.018605522577916936,0.8964719902799781
0.1435037206064977,0.03413484075293169,0.8223614386405707
0.0776043850361188,0.030488352568173553,0.8919072623957076
0.10381512993552876,0.020786907614616653,0.8753979624498547
0.13719847988819667,0.01400103274686566,0.8488004873649376
0.06623806766324151,0.006554724832434411,0.9272072075043241
0.0342028177548242,0.0055901269773325005,0.9602070552678432
0.046123767231875494,0.003842077279849052,0.9500341554882755
0.061901905170489095,0.0026280091785021247,0.9354700856510089
0.0825816220841987,0.001786848817126437,0.915631529098675
0.10933905135235931,0.0012057610182787007,0.889455187629362
0.05769326161777978,0.0010508095373262,0.9412559288448941
0.09394600627515429,0.002166068684518886,0.9038879250403268
0.1600498238048161,0.004006495448660218,0.8359436807465237
0.20640573116203342,0.0026333752111932676,0.7909608936267734
0.3281909962900229,0.005164568194658989,0.6666444355153182
0.45089272778148914,0.0089820521467764,0.5401252200717345
0.29109068859346604,0.009577311896139393,0.6993319995103946
0.3597872418953597,0.006033129041042572,0.6341796290635976
0.19982085205346142,0.0032491794682409404,0.7969299684782977
0.09960532258798607,0.0015705489562193153,0.8988241284557946
0.13108338767231184,0.0010534116731108125,0.8678632006545773
0.06997205300425831,0.0009287269809512361,0.9290992200147905
0.11302843748085259,0.001899092668985819,0.8850724698501616
0.19336886946232912,0.0040073876407685435,0.8026237428969023
0.10685187071242014,0.0036573784579106345,0.8894907508296693
0.05033099317985781,0.0016705493564201058,0.947998457463722
0.025753315473097307,0.0014117894596380463,0.9728348950672646
0.034790955816043925,0.000972041227911931,0.9642370029560442
0.017658379663290258,0.0008148584085322412,0.9815267619281776
0.029552476665094363,0.001726315506378858,0.9687212078285267
0.01329348007195298,0.0007530104717383378,0.9859535094563087
0.005921720213608006,0.00032527167758362584,0.9937530081088083
0.008054655953630982,0.00022548979814876488,0.9917198542482203
0.013578597995791033,0.00048120465646426424,0.9859401973477447
0.0068174981831532235,0.00039903675255040455,0.9927834650642964
0.0030252899803216073,0.00017170815193337218,0.9968030018677451
0.004119093703658528,0.00011915358523586514,0.9957617527111056
0.0018248110670994295,5.118696588123289e-05,0.9981240019670192
0.003090208862495645,0.00010972972786322361,0.9968000614096412
0.00522813785574374,0.00023500574872252378,0.9945368563955338
0.007112844564155478,0.0001629507304558975,0.9927242047053886
